050662s040,050698s022,050775s011lbl	C0032302	Pneumonia due to Mycoplasma pneumoniae
050662s040,050698s022,050775s011lbl	C0271429	Acute otitis media
050662s040,050698s022,050775s011lbl	C0029882	otitis media
050662s040,050698s022,050775s011lbl	C0029877	Otitis
050662s040,050698s022,050775s011lbl	C0021311	INFECTIONS
050662s040,050698s022,050775s011lbl	C0026914	Mycobacterium avium complex
050662s040,050698s022,050775s011lbl	C0019693	HIV infection
20263slr024_lupron_lbl	C1621895	adrenal hyperplasia
20263slr024_lupron_lbl	C0027651	tumor
21098lbl	C0700589	contraceptive methods
21098lbl	C0002453	Amenorrhea
20903slr029_rebetol_lbl	C0019189	chronic hepatitis
20903slr029_rebetol_lbl	C0023895	liver disease
20903slr029_rebetol_lbl	C0023890	cirrhosis
021411s004s012s013s015s021lbl	C0542476	forgetful
021411s004s012s013s015s021lbl	C0033975	psychosis
21103lbl	C0029456	osteoporosis
21103lbl	C0016658	fractures
21103lbl	C0014935	estrogen replacement
21103lbl	C0025322	Early menopause
21103lbl	C0085762	alcohol abuse
21105lbl	C0042029	urinary tract infections
21105lbl	C0030193	pain
21105lbl	C0021311	infection
21105lbl	C0042029	urinary tract infection
21108lbl	C0262478	facial wrinkles
21108lbl	C0162834	hyperpigmentation
21108lbl	C0039446	telangiectasia
21108lbl	C0022593	keratoses
21108lbl	C0027651	neoplasms
004782s115lbl	C0020619	hypogonadism
004782s115lbl	C0678222	breast cancer
004782s115lbl	C0600139	carcinoma of the prostate
004782s115lbl	C0029456	osteoporosis
004782s115lbl	C0029456	OSTEOPOROSIS
20130s7lbl	C0001144	acne vulgaris
20130s7lbl	C0700589	birth control
20130s7lbl	C0700589	contraceptive methods
20130s7lbl	C0002453	Amenorrhea
20130s7lbl	C0001144	Acne Vulgaris
20130s7lbl	C0702166	acne
21112lbl	C0025218	melasma
21112lbl	C0700589	birth control
21112lbl	C0162834	hyperpigmentation
21116lbl	C0020676	Hypothyroidism
21116lbl	C0020676	hypothyroidism
21116lbl	C0040147	thyroiditis
21116lbl	C0018021	goiter
21116lbl	C0018021	goiters
21116lbl	C0040137	thyroid nodules
21116lbl	C0677607	chronic lymphocytic thyroiditis
21116lbl	C0342208	multinodular goiter
21116lbl	C0549473	thyroid cancer
20708S011lbl	C0014175	Endometriosis
20708S011lbl	C0014175	endometriosis
20708S011lbl	C0030193	pain
20708S011lbl	C0042133	Uterine Leiomyomata
20708S011lbl	C0042133	Fibroids
20708S011lbl	C0002871	anemia
20708S011lbl	C0042133	uterine leiomyomata
21119lbl	C0024437	macular degeneration
20702s25lbl	C0020443	hypercholesterolemia
20702s25lbl	C0004153	atherosclerotic vascular disease
20702s25lbl	C0018799	heart disease
20702s25lbl	C0085096	peripheral vascular disease
20702s25lbl	C0007273	carotid artery disease
20702s25lbl	C0014935	estrogen replacement therapy
20702s25lbl	C0020538	hypertension
20702s25lbl	C0011849	diabetes mellitus
20702s25lbl	C0020676	hypothyroidism
20702s25lbl	C0027726	nephrotic syndrome
20702s25lbl	C0023895	liver disease
21123lbl	C0030193	pain
21590_fazaclo_lbl	C0036341	schizophrenia
21590_fazaclo_lbl	C0001824	agranulocytosis
21590_fazaclo_lbl	C0036572	seizure
21590_fazaclo_lbl	C0036572	seizures
21127lbl	C0033774	itching
21127lbl	C0009763	conjunctivitis
20702s33lbl	C0020443	hypercholesterolemia
20702s33lbl	C0020445	familial hypercholesterolemia
20702s33lbl	C0004153	atherosclerotic vascular disease
20702s33lbl	C0018799	heart disease
20702s33lbl	C0011849	diabetes mellitus
20702s33lbl	C0020676	hypothyroidism
20702s33lbl	C0027726	nephrotic syndrome
20702s33lbl	C0023895	liver disease
21130lbl	C0021311	infections
21130lbl	C0004610	bacteremia
21130lbl	C0032285	pneumonia
21130lbl	C0011127	decubitus ulcers
050720s024lbl	C0021311	infections
050720s024lbl	C0021311	Infections
050720s024lbl	C0029882	Otitis Media
050720s024lbl	C0037199	Sinusitis
050720s024lbl	C0042029	Urinary Tract Infections
021205s011lbl	C0021311	infection
021205s011lbl	C0020517	hypersensitivity
004782s141lbl	C0029456	osteoporosis
004782s142lbl	C0029456	osteoporosis
021205s014lbl	C0021311	infection
021205s014lbl	C0020517	hypersensitivity
103000s5050lbl	C0007859	neck pain
103000s5050lbl	C0020458	hyperhidrosis
103000s5050lbl	C0038379	strabismus
103000s5050lbl	C0005747	blepharospasm
103000s5050lbl	C0005747	benign essential blepharospasm
103000s5050lbl	C0030552	weakness
103000s5050lbl	C0009917	contracture
103000s5050lbl	C0021311	infection
103000s5050lbl	C0020517	hypersensitivity
004782s146lbl	C0029456	osteoporosis
021205s018lbl	C0021311	infection
021205s018lbl	C0020517	hypersensitivity
004782s147lbl	C0029456	osteoporosis
21567_reyataz_lbl	C0021311	infection
21145lbl	C0702166	acne
21145lbl	C0281858	Global Assessment
21478_zovirax_lbl	C0019345	herpes labialis
21478_zovirax_lbl	C0019345	cold sores
21149lbl	C0429468	anovulatory
21149lbl	C0021359	infertility
21149lbl	C0476089	endometrial carcinoma
21149lbl	C0042134	uterine bleeding
004782s155lbl	C0020619	hypogonadism
004782s155lbl	C0678222	breast cancer
004782s155lbl	C0600139	carcinoma of the prostate
004782s155lbl	C0029456	osteoporosis
21151lbl	C0004238	atrial fibrillation
21151lbl	C0004239	atrial flutter
21151lbl	C0004238	AFIB
21151lbl	C0003811	arrhythmias
21153lbl	C0017168	Gastroesophageal Reflux Disease
21153lbl	C0017168	GERD
21153lbl	C0014868	Esophagitis
21153lbl	C0014868	esophagitis
21153lbl	C0018834	heartburn
21153lbl	C0013295	Duodenal Ulcer
21153lbl	C0021311	infection
21153lbl	C0013295	duodenal ulcer disease
21153lbl	C0013295	duodenal ulcer
020560s038_021575s007lbl	C0029456	osteoporosis
020560s038_021575s007lbl	C0016658	fractures
020560s038_021575s007lbl	C0029456	Osteoporosis
020560s038_021575s007lbl	C0016658	fracture
020560s038_021575s007lbl	C0025322	early menopause
013025s040lbl	C0220981	metabolic acidosis
013025s040lbl	C0033046	PMS
013025s040lbl	C0001122	Acidosis
013025s040lbl	C0018790	cardiac arrest
013025s040lbl	C0001122	acidosis
019906s34lbl	C0029421	OCD
21168lbl	C0149931	migraine headaches
21168lbl	C0014544	epilepsy
020287s035lbl	C0002962	angina
020287s035lbl	C0027051	myocardial infarction
020287s035lbl	C0002962	Angina
020287s035lbl	C0027051	Myocardial Infarction
020287s035lbl	C0149871	deep vein thrombosis
020287s035lbl	C0151950	DVT
020287s035lbl	C0034065	pulmonary embolism
020287s035lbl	C0006826	cancer
019653s037,019697s034lbl	C0001144	acne vulgaris
019653s037,019697s034lbl	C0025274	menarche
019653s037,019697s034lbl	C0702166	acne
019653s037,019697s034lbl	C0700589	birth control
019653s037,019697s034lbl	C0700589	contraceptive methods
019653s037,019697s034lbl	C0002453	Amenorrhea
019653s037,019697s034lbl	C0281858	global assessment
019653s037,019697s034lbl	C0001144	Acne Vulgaris
21169lbl	C0497327	dementia
21174lbl	C0023418	leukemia
020905s015lbl	C0003873	rheumatoid arthritis
21176lbl	C0020443	hypercholesterolemia
21176lbl	C0004153	atherosclerotic vascular disease
21176lbl	C0011849	diabetes mellitus
21176lbl	C0020676	hypothyroidism
21176lbl	C0027726	nephrotic syndrome
21176lbl	C0023895	liver disease
21178lbl	C0011860	type 2 diabetes
21178lbl	C0020456	hyperglycemia
21179lbl	C0022658	renal disease
21179lbl	C1261469	ESRD
20636s025,20933s014lbl	C0021311	infection
20636s025,20933s014lbl	C0015230	rash
20636s025,20933s014lbl	C0019693	HIV infection
021797s002,021798s002lbl	C0019189	chronic hepatitis
021797s002,021798s002lbl	C0042769	virus infection
021797s002,021798s002lbl	C0021311	infection
021797s002,021798s002lbl	C0023895	liver disease
021797s002,021798s002lbl	C0042721	viral hepatitis
021797s002,021798s002lbl	C0016059	Fibrosis
21180lbl	C0700589	contraceptive methods
21180lbl	C0002453	Amenorrhea
21184lbl	C0033860	psoriasis
21187lbl	C0700589	contraceptive methods
21187lbl	C0002453	Amenorrhea
20251scf015_zantac_lbl	C0013295	duodenal ulcer
20251scf015_zantac_lbl	C0041582	ulcers
20251scf015_zantac_lbl	C0024899	mastocytosis
20251scf015_zantac_lbl	C0038358	gastric ulcer
20251scf015_zantac_lbl	C0017168	GERD
20251scf015_zantac_lbl	C0014868	esophagitis
20251scf015_zantac_lbl	C0018834	heartburn
20251scf015_zantac_lbl	C0030193	pain
021433s004lbl	C0004096	asthma
021433s004lbl	C0149783	corticosteroid therapy
021433s004lbl	C0006266	bronchospasm
021433s005lbl	C0004096	asthma
021433s005lbl	C0149783	corticosteroid therapy
021433s005lbl	C0006266	bronchospasm
021433s006lbl	C0004096	asthma
021433s006lbl	C0149783	corticosteroid therapy
021433s006lbl	C0006266	bronchospasm
125036s044lbl	C0033860	psoriasis
21196lbl	C0007384	cataplexy
21196lbl	C0027404	narcolepsy
019430s044lbl	C1527304	allergic reactions
019430s044lbl	C0002792	anaphylaxis
019430s044lbl	C0002792	anaphylactic reactions
019430s044lbl	C0016382	flushing
019430s044lbl	C0039070	syncope
019430s044lbl	C0039231	tachycardia
019430s044lbl	C0020649	fall in blood pressure
019430s044lbl	C0009951	convulsions
019430s044lbl	C0042963	vomiting
019430s044lbl	C0011991	diarrhea
019430s044lbl	C0000729	abdominal cramps
019430s044lbl	C0043144	wheezing
019430s044lbl	C0013404	dyspnea
019430s044lbl	C0037763	spasm
019430s044lbl	C0033774	pruritus
019430s044lbl	C0042109	urticaria
019430s044lbl	C0002994	angioedema
20659S27lbl	C0021311	infection
20659S27lbl	C0019693	HIV disease
050760s11,050761s11,050754s12,050542s25lbl	C0021311	infections
050760s11,050761s11,050754s12,050542s25lbl	C0021311	Infections
050760s11,050761s11,050754s12,050542s25lbl	C0018081	Gonorrhea
050760s11,050761s11,050754s12,050542s25lbl	C0013295	duodenal ulcer
050760s11,050761s11,050754s12,050542s25lbl	C0021311	infection
050760s11,050761s11,050754s12,050542s25lbl	C0013295	duodenal ulcer disease
21356se5-003_viread_lbl	C0021311	infection
21200lbl	C0022104	irritable bowel syndrome
21200lbl	C0022104	IBS
21200lbl	C0009806	constipation
21202lbl	C0011860	type 2 diabetes
21203lbl	C0020443	Hypercholesterolemia
21203lbl	C0020443	hypercholesterolemia
21203lbl	C0020557	Hypertriglyceridemia
21203lbl	C0020557	hypertriglyceridemia
21203lbl	C0020473	hyperlipidemia
21203lbl	C0030305	pancreatitis
21203lbl	C0020476	hyperlipoproteinemia
21203lbl	C0020676	hypothyroidism
21203lbl	C0011849	diabetes mellitus
21203lbl	C0020476	Hyperlipoproteinemias
21203lbl	C0018799	heart disease
21204lbl	C0011860	Type 2 diabetes
21204lbl	C0011854	insulin dependent diabetes mellitus
21204lbl	C0011860	NIDDM
21204lbl	C0020456	hyperglycemia
020505s018lbl	C0014544	Epilepsy
020505s018lbl	C0036572	seizures
020505s018lbl	C0014544	epilepsy
020505s018lbl	C0149931	Migraine
020505s018lbl	C0149931	migraine headache
20978slr012,20977slr010_ziagen_lbl	C0021311	infection
06002slr039_aralen_lbl	C0002438	amebiasis
06002slr039_aralen_lbl	C0021311	infection
21210lbl	C0020676	Hypothyroidism
21210lbl	C0020676	hypothyroidism
21210lbl	C0040147	thyroiditis
21210lbl	C0018021	goiter
21210lbl	C0018021	goiters
21210lbl	C0040137	thyroid nodules
21210lbl	C0677607	chronic lymphocytic thyroiditis
21210lbl	C0342208	multinodular goiter
21210lbl	C0549473	thyroid cancer
20685s050s053s056lbl	C0019693	HIV infection
20596s021,20564s020lbl	C0019693	HIV infection
20596s021,20564s020lbl	C0019693	HIV Disease
20596s021,20564s020lbl	C0019693	HIV disease
21214lbl	C0017601	glaucoma
21214lbl	C0028840	ocular hypertension
21216lbl	C0036572	seizures
21216lbl	C0014544	epilepsy
20155s26lbl	C0021311	infection
20155s26lbl	C0019693	HIV infection
20155s26lbl	C0019693	HIV disease
07935s030lbl	C0018621	seasonal allergic rhinitis
07935s030lbl	C0035460	Vasomotor rhinitis
07935s030lbl	C0009763	conjunctivitis
07935s030lbl	C0042109	urticaria
07935s030lbl	C0002994	angioedema
07935s030lbl	C1527304	allergic reactions
07935s030lbl	C0343065	Dermographism
07935s030lbl	C0002792	Anaphylactic reactions
07935s030lbl	C0027497	nausea
07935s030lbl	C0042963	vomiting
07935s030lbl	C0030193	pain
07935s030lbl	C0026603	motion sickness
20155s27lbl	C0021311	infection
20155s27lbl	C0019693	HIV infection
20155s27lbl	C0019693	HIV disease
020829s035,020830s037,021409s015lbl	C0004096	asthma
020829s035,020830s037,021409s015lbl	C0018621	seasonal allergic rhinitis
12429s022lbl	C0023418	Leukemias
12429s022lbl	C0023418	leukemias
12429s022lbl	C0027651	Neoplasms
12429s022lbl	C0023418	leukemia
12429s022lbl	C0024299	lymphoma
12429s022lbl	C0026764	multiple myeloma
12429s022lbl	C0027651	tumors
12429s022lbl	C0023470	myelogenous leukemia
21222lbl	C0021311	infections
21222lbl	C0008677	Chronic Bronchitis
21222lbl	C0031350	Pharyngitis
21222lbl	C0040425	Tonsillitis
21222lbl	C0035436	rheumatic fever
21222lbl	C0031350	pharyngitis
21222lbl	C0040425	tonsillitis
21222lbl	C0021311	Infections
21223lbl	C0020437	hypercalcemia
21223lbl	C0006826	malignancy
21223lbl	C0018801	cardiac failure
21223lbl	C0020502	hyperparathyroidism
21223lbl	C0027651	tumor
21224lbl	C0497327	dementia
21226lbl	C0021311	infection
21228lbl	C0042024	urinary incontinence
012041s033lbl	C0003868	gouty arthritis
012041s033lbl	C0006444	bursitis
012041s033lbl	C0039520	tenosynovitis
012041s033lbl	C0014488	epicondylitis
012041s033lbl	C0003873	rheumatoid arthritis
012041s033lbl	C0039103	synovitis
012041s033lbl	C0029408	osteoarthritis
012041s033lbl	C0002171	alopecia areata
012041s033lbl	C0024138	discoid lupus erythematosus
012041s033lbl	C0022548	keloids
012041s033lbl	C0085074	granuloma annulare
012041s033lbl	C0023646	lichen planus
012041s033lbl	C0149922	lichen simplex chronicus
012041s033lbl	C0027822	neurodermatitis
012041s033lbl	C0162812	necrobiosis
012041s033lbl	C0027651	tumors
21238lbl	C0027497	nausea
21238lbl	C0042963	vomiting
21238lbl	C0006826	cancer
21241lbl	C0700589	contraceptive methods
21241lbl	C0002453	Amenorrhea
019677s005,019678s005lbl	C0026896	myasthenia gravis
021200s014lbl	C0022104	IBS
021200s014lbl	C0009806	Constipation
021200s014lbl	C0022104	irritable bowel syndrome
021200s014lbl	C0009806	constipation
21249lbl	C0004153	atherosclerotic vascular disease
21249lbl	C0020443	hypercholesterolemia
21249lbl	C0020476	Hyperlipoproteinemias
21249lbl	C0011849	diabetes mellitus
21249lbl	C0020676	hypothyroidism
21249lbl	C0027726	nephrotic syndrome
21249lbl	C0023895	liver disease
21249lbl	C0018799	heart disease
020717s020s013s018lbl	C0917799	excessive sleepiness
020717s020s013s018lbl	C0027404	narcolepsy
020717s020s013s018lbl	C0037315	sleep apnea
020717s020s013s018lbl	C0851578	sleep disorder
020717s020s013s018lbl	C0027404	Narcolepsy
21251lbl	C0021311	infection
21252lbl	C0267572	ulcerative proctitis
022012s001lbl	C0018801	Heart Failure
022012s001lbl	C0018801	heart failure
022012s001lbl	C0027051	Myocardial Infarction
022012s001lbl	C0027051	myocardial infarction
022012s001lbl	C0020538	Hypertension
022012s001lbl	C0085580	essential hypertension
20441slr018,20746slr011,20929slr015_pulmicort_lbl	C0002103	allergic rhinitis
021378s002lbl	C0030193	pain
022012s003lbl	C0018801	Heart Failure
022012s003lbl	C0018801	heart failure
022012s003lbl	C0027051	Myocardial Infarction
022012s003lbl	C0027051	myocardial infarction
022012s003lbl	C0020538	Hypertension
022012s003lbl	C0085580	essential hypertension
022012s004lbl	C0018801	Heart Failure
022012s004lbl	C0018801	heart failure
022012s004lbl	C0027051	Myocardial Infarction
022012s004lbl	C0027051	myocardial infarction
022012s004lbl	C0020538	Hypertension
022012s004lbl	C0085580	essential hypertension
21257lbl	C0017601	glaucoma
21257lbl	C0028840	ocular hypertension
021378s005lbl	C0030193	pain
21260lbl	C0030193	pain
21260lbl	C0030193	Pain
021035s057,021505s013lbl	C0036572	seizures
021035s057,021505s013lbl	C0014544	epilepsy
021035s057,021505s013lbl	C0014550	myoclonic seizures
021035s057,021505s013lbl	C0014550	myoclonic epilepsy
21266lbl	C0026946	fungal infections
21266lbl	C0004030	aspergillosis
21266lbl	C0021311	infections
21266lbl	C0004030	Aspergillosis
21266lbl	C0006826	malignancies
21266lbl	C0005961	bone marrow transplantation
21266lbl	C0027651	tumors
21266lbl	C0020517	Allergy
21266lbl	C0009450	Infectious Diseases
21266lbl	C0026946	Mycoses
21266lbl	C0006826	Cancer
21266lbl	C0015403	eye infections
21266lbl	C0021311	infection
21266lbl	C0015403	eye infection
21266lbl	C0027947	neutropenia
21481s002lbl	C0021311	infection
21481s002lbl	C0015672	fatigue
19591slr022_lariam_lbl	C0021311	Infections
19591slr022_lariam_lbl	C0021311	infection
19591slr022_lariam_lbl	C0021311	infections
20564s14,20596s15lbl	C0021311	infection
20564s14,20596s15lbl	C0019693	HIV Disease
20564s14,20596s15lbl	C0019693	HIV infection
20564s14,20596s15lbl	C0019693	HIV disease
21272lbl	C0020538	hypertension
21275lbl	C0017612	open angle glaucoma
21275lbl	C0028840	ocular hypertension
21276lbl	C0001144	acne vulgaris
21276lbl	C0700589	birth control
21276lbl	C0700589	contraceptive methods
21276lbl	C0002453	Amenorrhea
21276lbl	C0001144	Acne Vulgaris
21276lbl	C0702166	acne
021545s006lbl	C0033774	itching
021545s006lbl	C0009763	conjunctivitis
21277lbl	C0021311	infections
21277lbl	C0037199	Sinusitis
21277lbl	C0008677	Chronic Bronchitis
21277lbl	C0032285	Pneumonia
21277lbl	C0008148	Chlamydia
21277lbl	C0021311	Infections
21277lbl	C0021311	infection
050777s012lbl	C0011615	atopic dermatitis
19655slr039,19910slr027,20528slr011_retrovir_lbl	C0021311	infection
19655slr039,19910slr027,20528slr011_retrovir_lbl	C0021311	infections
19655slr039,19910slr027,20528slr011_retrovir_lbl	C0019693	HIV disease
19655slr039,19910slr027,20528slr011_retrovir_lbl	C0032961	gestation
19655slr039,19910slr027,20528slr011_retrovir_lbl	C0019693	HIV infection
21281lbl	C0013295	Duodenal Ulcer
21281lbl	C0013295	duodenal ulcer
21281lbl	C0021311	infection
21281lbl	C0013295	duodenal ulcer disease
21281lbl	C0013295	Duodenal Ulcers
21281lbl	C0013295	duodenal ulcers
21281lbl	C0038358	Gastric Ulcer
21281lbl	C0038358	gastric ulcer
21281lbl	C0038358	gastric ulcers
21281lbl	C0017168	Gastroesophageal Reflux Disease
21281lbl	C0017168	GERD
21281lbl	C0018834	heartburn
21281lbl	C0014868	Esophagitis
21281lbl	C0014868	esophagitis
21281lbl	C0043515	Zollinger - Ellison Syndrome
21281lbl	C0043515	Zollinger - Ellison syndrome
21286lbl	C0020538	hypertension
011909s036lbl	C0003467	anxiety
019892s009,019891s008lbl	C0030193	pain
21290lbl	C0020538	hypertension
011909s038lbl	C0003467	anxiety
21292lbl	C0020676	Hypothyroidism
21292lbl	C0020676	hypothyroidism
21292lbl	C0040147	thyroiditis
21292lbl	C0018021	goiter
21292lbl	C0018021	goiters
21292lbl	C0040137	thyroid nodules
21292lbl	C0677607	chronic lymphocytic thyroiditis
21292lbl	C0342208	multinodular goiter
21292lbl	C0549473	thyroid cancer
18150s019lbl	C0027051	myocardial infarction
18150s019lbl	C0151744	ischemic heart disease
18150s019lbl	C0010054	coronary artery disease
18150s019lbl	C0022116	ischemia
21297lbl	C0002103	Allergic Rhinitis
21297lbl	C0002103	allergic rhinitis
21297lbl	C0042109	Urticaria
21297lbl	C0033774	pruritus
21297lbl	C0042109	hives
21297lbl	C0042109	urticaria
20685slr046,047_crixivan_lbl	C0021311	infection
21299lbl	C1269683	Major Depressive Disorder
21299lbl	C1269683	major depressive disorder
21299lbl	C0085631	psychomotor agitation
21299lbl	C0015672	fatigue
21299lbl	C0038663	suicide attempt
21299lbl	C0028768	Obsessive Compulsive Disorder
21299lbl	C0028768	obsessive compulsive disorder
21299lbl	C0029421	OCD
21299lbl	C0028768	Obsessive compulsive disorder
21299lbl	C0030319	Panic Disorder
21299lbl	C0030319	panic disorder
21299lbl	C0001818	agoraphobia
21299lbl	C0030319	Panic disorder
21299lbl	C0086769	panic attacks
21299lbl	C0030252	palpitations
21299lbl	C0038990	sweating
21299lbl	C0392680	shortness of breath
21299lbl	C0008301	choking
21299lbl	C0008031	chest pain
21299lbl	C0027497	nausea
21299lbl	C0012833	dizzy
21299lbl	C0220870	lightheaded
21299lbl	C0030554	paresthesias
21299lbl	C0028643	numbness
21299lbl	C0085593	chills
